distance,bs_index,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,time_norm,sin_time,cos_time
21.73131381210073,0.0,0.0,0.0,1.5,5.0,0.0,0.0,0.0,0.0,1.0
54.51834553615874,1.0,0.0,0.0,1.5,5.0,0.0,0.0,0.0,0.0,1.0
102.33401194128959,2.0,0.0,0.0,1.5,5.0,0.0,0.0,0.0,0.0,1.0
151.56599222780815,3.0,0.0,0.0,1.5,5.0,0.0,0.0,0.0,0.0,1.0
21.737065119284157,0.0,0.5,0.0,1.5,5.0,0.0,0.0,0.0016666666666666668,0.010471784116245792,0.9999451693655121
54.060151683102035,1.0,0.5,0.0,1.5,5.0,0.0,0.0,0.0016666666666666668,0.010471784116245792,0.9999451693655121
101.84547118060773,2.0,0.5,0.0,1.5,5.0,0.0,0.0,0.0016666666666666668,0.010471784116245792,0.9999451693655121
151.07117527840975,3.0,0.5,0.0,1.5,5.0,0.0,0.0,0.0016666666666666668,0.010471784116245792,0.9999451693655121
21.754309917807092,0.0,1.0,0.0,1.5,5.0,0.0,0.0,0.0033333333333333335,0.020942419883356957,0.9997806834748455
53.60270515561691,1.0,1.0,0.0,1.5,5.0,0.0,0.0,0.0033333333333333335,0.020942419883356957,0.9997806834748455
101.35704218257358,2.0,1.0,0.0,1.5,5.0,0.0,0.0,0.0033333333333333335,0.020942419883356957,0.9997806834748455
150.57639257200978,3.0,1.0,0.0,1.5,5.0,0.0,0.0,0.0033333333333333335,0.020942419883356957,0.9997806834748455
21.783020910791965,0.0,1.5000000000000002,0.0,1.5,5.0,0.0,0.0,0.005,0.03141075907812829,0.9995065603657316
53.146025251188824,1.0,1.5000000000000002,0.0,1.5,5.0,0.0,0.0,0.005,0.03141075907812829,0.9995065603657316
100.86872657072657,2.0,1.5000000000000002,0.0,1.5,5.0,0.0,0.0,0.005,0.03141075907812829,0.9995065603657316
150.08164444728075,3.0,1.5000000000000002,0.0,1.5,5.0,0.0,0.0,0.005,0.03141075907812829,0.9995065603657316
21.823152842795196,0.0,2.0,0.0,1.5,5.0,0.0,0.0,0.006666666666666667,0.04187565372919962,0.9991228300988584
52.690131903421914,1.0,2.0,0.0,1.5,5.0,0.0,0.0,0.006666666666666667,0.04187565372919962,0.9991228300988584
100.38052599981731,2.0,2.0,0.0,1.5,5.0,0.0,0.0,0.006666666666666667,0.04187565372919962,0.9991228300988584
149.58693124735194,3.0,2.0,0.0,1.5,5.0,0.0,0.0,0.006666666666666667,0.04187565372919962,0.9991228300988584
21.874642854227357,0.0,2.5,0.0,1.5,5.0,0.0,0.0,0.008333333333333333,0.05233595624294383,0.9986295347545738
52.23504570688151,1.0,2.5,0.0,1.5,5.0,0.0,0.0,0.008333333333333333,0.05233595624294383,0.9986295347545738
99.89244215655157,2.0,2.5,0.0,1.5,5.0,0.0,0.0,0.008333333333333333,0.05233595624294383,0.9986295347545738
149.09225331988245,3.0,2.5,0.0,1.5,5.0,0.0,0.0,0.008333333333333333,0.05233595624294383,0.9986295347545738
