-4.599992310911129049e-08,-1.784224703145503188e+00,-3.356510214597738795e-01,-2.937822499048168266e-07,2.021301587784822829e+00,6.111781075447059175e-01,1.207532568952673161e-07,-2.878218203818515786e+00,-1.475217014045101527e+00,-2.791238217349569534e-07,3.168929077013710405e+00,-1.715195669144213175e+00
-3.764502651647440328e-05,-1.763601909030078296e+00,-3.507670038703405990e-01,-3.800778040635891750e-05,3.133009991630189006e+00,-5.517749594025705973e-01,-3.763818456064600980e-05,-2.463995201136132351e+00,7.186144459528310824e-01,-3.904161704950849526e-05,2.537945247158260198e+00,-7.204863166977684141e-01
-3.022589912930460264e-05,-1.131952160088756321e+00,-6.031712097139947382e-01,-3.021269691069254390e-05,2.153075452133645928e+00,6.730506941916241104e-01,-2.978191248251218939e-05,-3.542093337491888150e+00,9.740993156424265775e-02,-2.980082068836556233e-05,2.701763307400424363e+00,7.680462706034539844e-01
-5.415404336303613367e-05,-1.211103812132935831e+00,1.200556831594282725e-01,-5.353452258187233988e-05,3.127176821757744030e+00,7.864523999627373585e-02,-5.469791992978464642e-05,-3.350548304119263410e+00,3.135248236334546856e-01,-5.517815603302400466e-05,3.922665117742644814e+00,-3.750481421779772173e-01
-1.593579441949767334e-04,-8.331116026702627408e-01,-2.500463057899427466e-01,-1.590870228043586652e-04,2.261701329275825234e+00,-9.979440845286099981e-02,-1.596771315259389533e-04,-2.873814579965456861e+00,9.113094114116639943e-01,-1.589621434995063453e-04,3.047232604282950064e+00,-1.771488187710534623e+00
-2.316331046209435507e-04,9.400022692790266365e-02,-2.779381431872554042e-01,-2.316855164602514658e-04,2.802907320609090203e+00,9.409790630745812345e-02,-2.307125011592594871e-04,-2.403506291081214385e+00,-9.635274834948281963e-01,-2.294626859782209968e-04,1.597274533676745989e+00,2.987700106018693069e-01
-2.231687266068120600e-04,-8.071695773183396039e-01,-3.395918335432900337e-01,-2.231841648202313527e-04,2.404849573244990601e+00,-2.460890898846629649e-01,-2.229252252338932336e-04,-2.556498677014183762e+00,7.197770943519367082e-01,-2.216613767146260506e-04,1.250514410865038117e+00,-3.038234908195538875e+00
-2.176266569393779844e-04,-1.565084053312453261e-01,-5.266281660333451686e-01,-2.174403624260632599e-04,2.145011570636347731e+00,-3.331989368743887847e-01,-2.181722013417011622e-04,-4.435809486295504200e+00,4.564724589073342331e-01,-2.166972521942063979e-04,2.655462456783061587e+00,2.064669096638910295e-03
-2.617582117102511198e-04,-7.317041408116351509e-01,-2.040537042396312617e-01,-2.613513604783735495e-04,1.873980831446535156e+00,-6.891649488450983796e-01,-2.611696804985742717e-04,-3.740978288831322107e+00,3.316828973058163488e-01,-2.608694800715858362e-04,1.402784984858000294e+00,-4.066012644982398561e-01
-3.450821503798246143e-04,-4.309692709402500044e-01,-5.947144883388004732e-01,-3.457239765535212450e-04,1.654746011333638078e+00,-5.370300233562440573e-01,-3.456478939179170439e-04,-3.242705176683772006e+00,-3.190724083425488522e-01,-3.473431384886030296e-04,3.171630097792071279e+00,-7.812211174211958209e-02
-4.634293900966748631e-04,-6.092663624237731890e-01,-1.911906838854434409e-01,-4.632355637288058697e-04,1.518741948558887556e+00,-4.773817127008163075e-01,-4.639078524527613222e-04,-2.371267977875579192e+00,-2.514772729270474683e-01,-4.640436393122586520e-04,4.235186150844659991e+00,1.303875588491367532e+00
-6.635787511558223929e-04,-4.234124322441394361e-01,3.247425945434644357e-01,-6.635862553903667041e-04,9.785166151904323151e-01,-1.285820069626641970e-02,-6.627356640135918494e-04,-3.344372482127213164e+00,1.605183633013913536e-01,-6.637093766326181707e-04,3.179381146439795192e+00,1.865664803482088019e-01
-9.577215129370354307e-04,-9.901935752433592697e-01,4.113815167439065501e-01,-9.583378672590273659e-04,1.235360327239973577e+00,-6.356967450750801163e-01,-9.586978284182280045e-04,-2.416259831549433912e+00,-6.033594639248683889e-01,-9.577387692091969594e-04,1.713177600406893486e+00,6.585926334213051403e-01
-1.215117466835216467e-03,-9.137797232348185972e-01,-5.630700783144023669e-01,-1.214585672388577339e-03,8.794231293270976524e-01,-8.997203865079861362e-01,-1.215452790400522705e-03,-2.863335222667502400e+00,-2.614099017463744623e-02,-1.216760792092949498e-03,2.491253316687625396e+00,-5.385316818244070269e-01
-1.545148202132847447e-03,4.531429787297012179e-01,2.935029713235648985e-01,-1.546229524738732593e-03,9.509516769153872895e-01,-4.937571604501598266e-01,-1.545861808373906162e-03,-1.964235361207307573e+00,1.510057139559184136e-01,-1.546593235340494674e-03,3.183277846284549462e+00,-1.128390531680079079e+00
-1.963280369923814644e-03,-3.008990623272548848e-01,-8.433949022700956144e-01,-1.963382825480039420e-03,1.416814359770155018e+00,-1.967752058608008836e-01,-1.964030825286493948e-03,-2.962292338577205975e+00,-1.769940117171206473e-01,-1.962766479367333925e-03,3.236202798449053120e+00,-1.108690213776932498e-01
