sigma_toa,sigma_azimuth,sigma_elevation
2.1072454436444965e-07,0.21072454436444965,0.21072454436444965
5.238141682933783e-07,0.5238141682933783,0.5238141682933783
9.770567754068572e-07,0.9770567754068572,0.9770567754068572
1.4414372774635088e-06,1.4414372774635087,1.4414372774635087
2.1077975596337504e-07,0.21077975596337506,0.21077975596337506
5.194556655078403e-07,0.5194556655078403,0.5194556655078403
9.724388577778353e-07,0.9724388577778352,0.9724388577778352
1.4367784047903736e-06,1.4367784047903738,1.4367784047903738
2.1094530230507294e-07,0.21094530230507294,0.21094530230507294
5.151039030231388e-07,0.5151039030231388,0.5151039030231388
9.678217751358998e-07,0.9678217751359,0.9678217751359
1.4321197019437586e-06,1.4321197019437586,1.4321197019437586
2.1122091872671912e-07,0.21122091872671914,0.21122091872671914
5.107590630813054e-07,0.5107590630813055,0.5107590630813055
9.632055419040173e-07,0.9632055419040175,0.9632055419040175
1.4274611716379928e-06,1.4274611716379926,1.4274611716379926
2.116061664520187e-07,0.2116061664520187,0.2116061664520187
5.064213340140637e-07,0.5064213340140638,0.5064213340140638
9.585901727941723e-07,0.9585901727941722,0.9585901727941722
1.4228028166266466e-06,1.4228028166266466,1.4228028166266466
2.1210043603890477e-07,0.2121004360389048,0.2121004360389048
5.020909104823237e-07,0.5020909104823238,0.5020909104823238
9.539756828143773e-07,0.9539756828143773,0.9539756828143773
1.4181446397031994e-06,1.4181446397031994,1.4181446397031994
2.1270295211799733e-07,0.21270295211799733,0.21270295211799733
4.977679937261732e-07,0.49776799372617314,0.49776799372617314
9.493620872758842e-07,0.9493620872758842,0.9493620872758842
1.413486643701721e-06,1.413486643701721,1.413486643701721
2.1341277933696718e-07,0.2134127793369672,0.2134127793369672
4.934527918258457e-07,0.49345279182584567,0.49345279182584567
9.447494018006032e-07,0.9447494018006033,0.9447494018006033
1.408828831497568e-06,1.408828831497568,1.408828831497568
2.1422882940645984e-07,0.21422882940645985,0.21422882940645985
4.891455199741686e-07,0.4891455199741686,0.4891455199741686
9.401376423287332e-07,0.9401376423287333,0.9401376423287333
1.4041712060080906e-06,1.4041712060080909,1.4041712060080909
2.15149869126973e-07,0.215149869126973,0.215149869126973
4.848464007610133e-07,0.48484640076101326,0.48484640076101326
9.355268251266173e-07,0.9355268251266173,0.9355268251266173
1.3995137701933584e-06,1.3995137701933587,1.3995137701933587
2.1617452926343625e-07,0.21617452926343625,0.21617452926343625
4.805556644702906e-07,0.4805556644702906,0.4805556644702906
9.30916966794823e-07,0.930916966794823,0.930916966794823
1.3948565270568977e-06,1.3948565270568978,1.3948565270568978
2.1730131412542175e-07,0.21730131412542178,0.21730131412542178
4.7627354939006087e-07,0.4762735493900609,0.4762735493900609
9.263080842764616e-07,0.9263080842764616,0.9263080842764616
1.3901994796464434e-06,1.3901994796464436,1.3901994796464436
2.1852861170597496e-07,0.21852861170597496,0.21852861170597496
4.7200030213634406e-07,0.47200030213634403,0.47200030213634403
9.217001948657503e-07,0.9217001948657503,0.9217001948657503
1.3855426310547104e-06,1.3855426310547105,1.3855426310547105
2.1985470423088418e-07,0.21985470423088416,0.21985470423088416
4.6773617799124283e-07,0.46773617799124284,0.46773617799124284
9.17093316216827e-07,0.917093316216827,0.917093316216827
1.3808859844201745e-06,1.3808859844201746,1.3808859844201746
2.2127777897256862e-07,0.22127777897256862,0.22127777897256862
4.634814412560131e-07,0.4634814412560131,0.4634814412560131
9.12487466352826e-07,0.912487466352826,0.912487466352826
1.3762295429278753e-06,1.3762295429278755,1.3762295429278755
2.227959391882943e-07,0.22279593918829432,0.22279593918829432
4.5923636561973666e-07,0.4592363656197367,0.4592363656197367
9.078826636752238e-07,0.9078826636752239,0.9078826636752239
1.3715733098102313e-06,1.3715733098102312,1.3715733098102312
2.244072150506862e-07,0.2244072150506862,0.2244072150506862
4.5500123454427734e-07,0.4550012345442774,0.4550012345442774
9.032789269734635e-07,0.9032789269734635,0.9032789269734635
1.3669172883478741e-06,1.3669172883478742,1.3669172883478742
2.261095744489896e-07,0.22610957444898963,0.22610957444898963
4.5077634166622035e-07,0.4507763416662204,0.4507763416662204
8.986762754348685e-07,0.8986762754348685,0.8986762754348685
1.3622614818705004e-06,1.3622614818705006,1.3622614818705006
2.2790093355172014e-07,0.22790093355172014,0.22790093355172014
4.465619912165193e-07,0.44656199121651935,0.44656199121651935
8.940747286548539e-07,0.8940747286548539,0.8940747286548539
1.3576058937577388e-06,1.3576058937577389,1.3576058937577389
2.2977916703469945e-07,0.22977916703469944,0.22977916703469944
4.42358498458593e-07,0.442358498458593,0.442358498458593
8.89474306647448e-07,0.8894743066474481,0.8894743066474481
1.352950527440037e-06,1.352950527440037,1.352950527440037
2.317421178925e-07,0.2317421178925,0.2317421178925
4.381661901456375e-07,0.4381661901456375,0.4381661901456375
8.848750298561328e-07,0.8848750298561328,0.8848750298561328
1.3482953863995677e-06,1.3482953863995677,1.3482953863995677
